	('E. Coli k12', 'E. Coli BW25113')	('E. Coli k12', 'Pichia sorbitophila')	('E. Coli BW25113', 'Pichia sorbitophila')	entropies
000001011000000001111110010100001000101000010100000101100100	0	0	0	3.581862098488579
110101000100000001011000001101000010000000000101010101001101	0	0	0	3.32757554407397
001100100000001010110101111100000000010001100010000010010001	0	0	0	3.6324833825408485
001000000100110100010111000100010100011100100110010000000010	0	0	0	3.6191916024562496
111101010100110110000000100100011110010000000100001000000000	0	0	0	3.5725007178199126
001100111011101110100001000010010001000000100000000110000100	0	0	0	3.530186377655125
000001110110100000110100100011100010101000000100110000010000	0	0	0	3.670462277915946
000000010000011101100010000100001101001001000010011000011011	0	0	0	3.498651858539112
001000101000100000100001101001001101101101001110000000001000	0	0	0	3.5973956632426027
110001010000100101101010010100100010011000010000000000101010	0	0	0	3.404475269868048
011000010000110001000100001100101110000101100100000110100000	0	0	0	3.574204603915547
001010000101111010000111000011010000000101101110000000000000	0	0	0	3.4971775791998247
011100000001000000010010001001101111100100000000001010001110	0	0	0	3.497682077355169
001100101100000000011100011000010011000001000001000011100101	0	0	0	3.4420491198693868
000101001010001000100010010001000000110010000000011101010111	0	0	0	3.518571646429765
100001000001111000010001111100001111000000000000010110000010	0	0	0	3.2178987910673267
010101010110010000100100101000001010011000000000001101000101	0	0	0	3.42956642162864
100100000000001001100010001100110011000010010000010101011010	0	0	0	3.512064868029451
011010000011000011000010011000000000001010110101110000110000	0	0	0	3.498651858539112
001101100000011100000100011001101010011010011000000010000000	0	0	0	3.5346519558241227
000011011000001000100001100101100000001000011001001100110100	0	0	0	3.486595508131495
001000000000111001101110001000001011000010000100000110001011	0	0	0	3.480311831212502
001000000001010010100000000110101010110000011111011000001000	0	0	0	3.6068061925107
110010110001001001000000000101111010000100000100000011001001	0	0	0	3.512629603839636
000000001000001000001001110111001011010010010100010000101100	0	0	0	3.6225359636026258
010010110100011010010100000011000000000010101000010100011100	0	0	0	3.597591869580504
101001000010010000000011100010100011000100010000001001111001	0	0	0	3.464582060120576
010010000100010110100101001100000100100011001010000001010100	0	0	0	3.4672375599251755
001011011001110000100100110010000001100000100101000000011000	0	0	0	3.608727587403608
001010001000011101101000001000001110001000100001101000100001	0	0	0	3.4384238388808437
011000000000100010011110101001011000100000010110001010100000	0	0	0	3.6326795888787498
100110100000000100100100100111001000001111010000000010000101	0	0	0	3.4465415352747795
001101101001001011000010100000110001110000010110000100000000	0	0	0	3.645923229267583
111001000010101001010100110000100000001000011011000000000011	0	0	0	3.4686605261786436
010101000100111100010010000100011000010001001000010010000110	0	0	0	3.403004163918813
010100010110010100100000100101100000100000100001011110000100	0	0	0	3.4982468131653532
010000101110010111000001100100010010010001100010100000000001	0	0	0	3.5494693489292826
001010000100100000001011100101000001001011010000101001100010	0	0	0	3.569561402047294
000000010000001101011100101011110111010001000000000100010000	0	0	0	3.5825241225939615
010001001001010001100100000000101100111000001000000010100111	0	0	0	3.5092005291889947
011010001100101000000001000101000100010011101100010000100010	0	0	0	3.534301417521691
101010100000000000101101100101000101010000100001001001011000	0	0	0	3.386993472984722
100001001011110001101010110000000000000001101011000010001000	0	0	0	3.59706660370467
100000000000001100010010101001110000010011000110110011000001	0	0	0	3.5019962196854877
101110101000011000010001000000001010101101000010000000100110	0	0	0	3.52546819885471
101000100010000101001000101100101000000100100011010100000110	0	0	0	3.4037411649563563
000001000001001110011101000110000010100000100110100000011001	0	0	0	3.5774998164624936
001101010000101000010100001101101001010110000000000100011000	0	0	0	3.5138168938208527
000110101100001001010010010001010110000111100000000000001001	0	0	0	3.6572186375271123
000001010111100000010111000000100001000010010010001101010100	0	0	0	3.6379848148523846
010001011110000011000100110000000100010010001000111000100010	0	0	0	3.4298234003602635
000111000110000000011001000101000000111010101000001011000010	0	0	0	3.6096482199881206
010010010000001001100010001010010001000000011011101000010011	0	0	0	3.471427576723903
011100000001000000010011000001010000111101000011000000110101	0	0	0	3.505829330806224
100100000001100001110011000010100001000000100010110000111010	0	0	0	3.5921664231047936
110001010100100001010001000001110000000111011000101000000010	0	0	0	3.5305914230288824
100000100000100000001100011001001011001100000000011100101011	0	0	0	3.4600600876580634
000101000111001100000110110000010011100010100000010001001000	0	0	0	3.66650793738947
001000100001011000001100101000001001101000101000001010110100	0	0	0	3.5312534471342647
010101000100010000111010010011000100001000000100101101100000	0	0	0	3.6314202180912245
011010001000100100000100000110100110000000010101110000111000	0	0	0	3.6483372791643665
010100110001010110001110110010000000000000010001000111001000	0	0	0	3.667767308176996
001000010110010010010010010010101001110101000010000100001000	0	0	0	3.387826495939117
100000000001010011101011000101000111010100011000000000000110	0	0	0	3.4760707785921565
101101100010000001100010000101010001011010001110000010000000	0	0	0	3.532721656957648
010000001010011100111011100000001001011000110001000100000000	0	0	0	3.6157356905692133
001001010100111010010011001010000100100000110001010000001000	0	0	0	3.52546819885471
100000110001100000001010000011000000101100011000011101001001	0	0	0	3.50550027126829
101100010000000000010101010000110110110100010001000100000110	0	0	0	3.3706016777874135
100000000010110000011100010010100010010010000101011100010010	0	0	0	3.5110854081804277
000101100110100011010000000000000010001100011101011010100000	0	0	0	3.564483597748164
100100000000010010100111001001010000010101100000001000110110	0	0	0	3.564465015109517
000000010100000001000100110001011001001000011100010111101000	0	0	0	3.710525154746229
110001101000100000011000000110110111001000001001010000000001	0	0	0	3.5136475247193464
000000100001111001101010100001000100011010001000011000000101	0	0	0	3.5730654536300963
010000011100001011101110000010000100000101000010110100000001	0	0	0	3.453109028161792
100110000100101100001000010000010100100010110000000010110101	0	0	0	3.451788708675417
100001100000100010011000000101000111010001101011000000000011	0	0	0	3.494591975119691
000001010101001100010011110000001000100100110000101010000010	0	0	0	3.5695614020472943
101110000001101000001100011000000000111001001000001010001100	0	0	0	3.532899930032721
010111000001000000001000111100000001100001010101100010000101	0	0	0	3.4577522300300436
010101010110100000000000000101001100100011000001101110000010	0	0	0	3.5374129985216665
011101101110001100010001010010000000110000000001000010000101	0	0	0	3.535491603628759
000011101110100010001110000001101010110010000000000000001100	0	0	0	3.536506628382618
100100000111010010100110010001000000100000010100001101000101	0	0	0	3.5046420408250065
000011010011101010000101100000111000101000101000001100000000	0	0	0	3.640826842329806
000100010110000110100001110100010000000010100010001110100100	0	0	0	3.581617752454911
000101110100000000100001001001000010000101000001111101011000	0	0	0	3.639002735732095
101010110010011000000110100010011000010101000000100000100010	0	0	0	3.5093333823890265
001010000010010000010000011001001011000010011010111100010000	0	0	0	3.6743713748725066
000001000010100011101011000011001000000000010001001110010101	0	0	0	3.6344316146701523
000100000000100010110001000110000100001001011001001110111000	0	0	0	3.574488419883566
000000011001000110000010110010000100110010000101101100100001	0	0	0	3.426772533846986
010111000010001000000001001001000001000110111100000101110000	0	0	0	3.527700246952032
010000001001001000011001010010000000110101100000111010000011	0	0	0	3.5695614020472943
000110110100100000110010010001000100111000000100000100011001	0	0	0	3.5025609554956727
111111010011100000100011000000001000000100000100010000101001	0	0	0	3.4236824316115086
000110101101010101011111101001001000100000000001000000000000	0	0	0	3.4513355236058922
001000111110001001100100000101101010010000001000000100010010	0	0	0	3.5951904523816762
000110101010110000110101011000110000000101001000000010000010	0	0	0	3.4808370970883367
000101000111001110001000000000001001001000110010001011001010	0	0	0	3.5916864007988747
000011000100011100001000010000011101001001101100000001100100	0	0	0	3.5666702259704426
100010100100010100011000000000000101000101011010110011001000	0	0	0	3.5276734097156366
000000011000001000101000111000110010001000010010011100110100	0	0	0	3.581336832612744
110110000110011000101010011010000001010000001000010000001001	0	0	0	3.4958327632685706
001100011011000100100000100000100000101011001000100100110010	0	0	0	3.470007506596286
001101110000101010110100011001000000001000100100000001100010	0	0	0	3.650823409867459
110101001001100100000001100000100000001100011110000001011000	0	0	0	3.594474930108632
100000001011010000000000001000100000110111011010100001011100	0	0	0	3.420891006175899
011010100111010001001101000110000010000000101000000000100110	0	0	0	3.4993859634508038
100000010010100101000010101111010101000100110000000000010010	0	0	0	3.4960416023044263
011001000001011100000010000000111100110000110000011000011000	0	0	0	3.396177229954133
000100001001010101000000111101000001010110011100001100000000	0	0	0	3.6755586648537233
101000000000000011000101111001001100010000010111110000010000	0	0	0	3.515568919612254
001001101100000110000100010001011001011100110011000000000000	0	0	0	3.5036241199452975
100011001000000010001100001000000001110000011001100011100011	0	0	0	3.2067394093978825
000100011000100000001000001000000100010101100111001010010111	0	0	0	3.539729760123253
001000010101010000010100110000001100101011000000111110000000	0	0	0	3.567987649330967
000000110100101001000000101011010000011010100110100000010001	0	0	0	3.4034841862247327
001010101101001110010000000000100010111000000100000110001001	0	0	0	3.6289793309580465
010110110000100000010001000000000100100010010111010101000011	0	0	0	3.5190998084314518
000000100001001101000001100001111010011100010110000100000001	0	0	0	3.634640453706009
