	('E. Coli k12', 'E. Coli BW25113')	('E. Coli k12', 'Pichia sorbitophila')	('E. Coli BW25113', 'Pichia sorbitophila')	entropies
010000000000100011010010100011001001000010101100010010001101	4561163	11	11	3.50068480417268
010101000100100001011011001001001010100100010000100001000100	4561097	12	12	3.2521669603101535
110011100000010001001000001110111101000100000100001000000100	4560980	16	16	3.4027500813130414
001100111000010000010100001011110100101101000010010000000000	4560068	12	12	3.6940583826167606
000000010001000101100100110100101000010000101110000001001101	4560607	10	10	3.608153172928343
000010000001001010100000000000100001111110110100010101010010	4560453	13	13	3.47132492995681
000100111011101100010100000001001000000110000110000100100010	4560976	7	7	3.624619945057812
011100001010010001010010010010110000001000100001000010011100	4561358	9	9	3.4574979711191456
010000111001000101100100000001010000001101001011001010000001	4561156	15	15	3.6125875357607384
001010110010110011000100010100010010000000100100000000101101	4561404	13	13	3.4660984096397254
111000000011000101111000010110001000000100000001000010100110	4561708	16	16	3.4744999220016792
000001000110101101110000010000001010000010001101100000011010	4560977	11	11	3.516133655422439
100010011101100000000000001011100100010011000110100010000001	4561296	9	9	3.5633444474627143
000100100001100100001000100001000100001101010100001010101110	4561017	13	13	3.5086723671873083
001001001100001011110010010101011100000010001100000100000000	4559937	13	13	3.6412318877035634
000111100011100100100010000010100110010000100001101000000100	4560705	11	11	3.600975700661231
001000001001111001011001000001001000010011000100010000010011	4560569	12	12	3.3865884276109623
000010000011001101010000110100001001100010101001011000000010	4560611	12	12	3.55925707743108
000100001000100011110001101000110010100000001001001011010000	4560657	11	11	3.66650793738947
000000001100100100010110010001000001010100011010000001111010	4560695	14	14	3.685911129165704
001000101100000111000011011001010011001010010000010000000100	4560404	12	12	3.650089304955767
000111011010110101000110011000000010010000000011110000000000	4559862	16	16	3.604476856118183
110010010100010110000111001100000000001000000011110000110000	4560964	10	10	3.5136475247193464
001000010100000001001010101000010001110001010101000101001100	4561123	14	14	3.3796918751860177
000000011111010000000101100000010001000010001100011101010010	4560740	12	12	3.641488866435187
000000001000000001101000011010101010100001010010000111101100	4560015	18	18	3.559106290968219
010100000011001110000011000000001101110100010010010001000001	4561180	16	16	3.5905472505134246
100000100000100001110010001101000100000110000010101101101000	4560924	8	8	3.5949095325395097
000000100010010100001011010100001101001100001011110000100000	4560005	18	18	3.7044108469287407
010000101010000000001001011101000100100001100000010100001111	4561486	10	10	3.531129321602672
000000001000111111001000100010010001000110001000000101001011	4560695	12	11	3.4523534444856017
000000100100011100000001100110000000001000101100011110110100	4560484	20	20	3.6359578770665317
100000000000011101000100100100100001000001011101000011011100	4560818	8	8	3.5257705974613764
110010000000000100011000101010010000000001000001010111101011	4561665	18	18	3.4723339468629524
000000110010001101000110000101000000100010110100111010001000	4560600	14	14	3.640425701985562
010110010000000100000011011001011101000001001010000111000000	4560581	9	9	3.6450115006566377
000010000100110001000010110100111000101000000101001100000011	4561011	11	11	3.6138624353720714
000010011111000000010000001110010100110001110001100000000100	4560482	17	17	3.5046606234636553
110000010110000110001010010011010001001011001000000000010100	4561057	14	14	3.510877578048235
110010010010001101110000001100000001010000001010001011000010	4561381	15	15	3.5767657115508014
101001101011100000100000001101100101001000000010110000010000	4560740	12	12	3.6099237813583915
010101000010110000100101001110000100001001000001110100100000	4560916	3	3	3.6088391381442677
000010100101100011100100100000010010011000010111100100000000	4560056	5	5	3.6049300411877065
110101010000000000010000011000010111111000000000001010100101	4561625	16	16	3.318156448576692
100111000100000000100010101010001100000001000100010010101110	4561667	9	9	3.506518192148
011101000000001000000000100011001010100001000001111111100000	4560756	13	13	3.427739418905078
010110000101000000010000001001100111000100000101001001100110	4561465	21	21	3.5552998407787517
000001111010100000100110110000110001000000000000010010111001	4560929	7	7	3.635827743687225
010110110000000010000111110000011000000000101110100000000110	4560858	8	8	3.37333622099295
010010001001001000010000111010101001000111010100001010000000	4560485	15	15	3.3916366748529736
011110110000101001100100100100000000010000100100010000110100	4560950	12	12	3.5760047694027146
110100000001101001000000011100000001000100100010001101010011	4561820	15	15	3.4266002686196275
100110000000100001101010010001010011100001001100010101000000	4560980	12	12	3.5892484097915474
000010100000000010101110000100000101110001010100001110000101	4561014	9	9	3.3353177521512674
