	('e_coli.fa.gz', 'e_coli_BW25113.fa')	('e_coli.fa.gz', 'Pichia_sorbitophila.fa')	('e_coli_BW25113.fa', 'Pichia_sorbitophila.fa')	entropies
000010010000000000110000000010011100001111000001111001110010	0	0	0	2.556307773670066
000010010000001001100011000000101000101000010011110001110001	0	0	0	2.719568645885376
000010010000010000101010001100001101000000011100100110010011	0	0	0	2.70676994896218
000010010001000011000000011110000000000100011110011111000001	0	0	0	2.5081826317240448
000010010001000100011000001110000000110000110111001000110001	0	0	0	2.6616174168822213
000010010010100100100100010000010100101000110011001001001100	0	0	0	2.516169724656658
000010010011000001010011100010000011000011100010110000101000	0	0	0	2.7714966971463286
000010100000000101010010000101010101011101001000101010000010	0	0	0	2.4785871248895956
000010100000110101110110000000101000001111101010100000000000	4559250	9	9	2.649231070816873
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100010000000100100000101010100101001010010010101001011	0	0	0	2.351251188130897
000010100101010010001010010100100000111001000000101000001101	0	0	0	2.637140035456912
000010101000001010101010010010100101101000010001000010010010	0	0	0	2.4346040649608396
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
000010101000100000101010001010010000101010101010001010000011	0	0	0	2.3257465361412044
